,randid,Date,Energy,Irradiance,IEC_pstep,Energy_pstep,Compared
0,R23,2018-07-19 01:00:00,1000.0,,,,
1,R23,2018-07-19 02:00:00,1000.0,,,0.0,
2,R23,2018-07-19 03:00:00,1000.0,,,0.0,
3,R23,2018-07-19 04:00:00,1000.0,,,0.0,
4,R23,2018-07-19 05:00:00,1000.0,,,0.0,
5,R23,2018-07-19 06:00:00,1000.0,,,0.0,
6,R23,2018-07-19 07:00:00,1032.712,28.6245,71.56125,32.71199999999999,38.84925000000001
7,R23,2018-07-19 08:00:00,1217.521,136.8305,342.07625,184.80899999999997,157.26725000000005
8,R23,2018-07-19 09:00:00,1889.859,347.5645,868.91125,672.338,196.57325000000003
9,R23,2018-07-19 10:00:00,3073.485,565.9015,1414.7537500000003,1183.6260000000002,231.1277500000001
10,R23,2018-07-19 11:00:00,4662.416,754.6965,1886.74125,1588.931,297.81025
11,R23,2018-07-19 12:00:00,6518.864,896.4945,2241.23625,1856.4479999999994,384.7882500000005
12,R23,2018-07-19 13:00:00,8469.309,984.371,2460.9275,1950.4449999999997,510.4825000000001
13,R23,2018-07-19 14:00:00,10059.862,1018.6565,2546.64125,1590.5529999999999,956.0882500000002
14,R23,2018-07-19 15:00:00,11122.754,339.1815,847.9537500000001,1062.8920000000016,-214.93825000000152
15,R23,2018-07-19 16:00:00,12884.505,828.638,2071.595,1761.7509999999984,309.8440000000014
16,R23,2018-07-19 17:00:00,14284.252,641.56,1603.8999999999999,1399.7470000000012,204.15299999999866
17,R23,2018-07-19 18:00:00,15193.739,409.846,1024.615,909.4869999999992,115.12800000000084
18,R23,2018-07-19 19:00:00,15572.821,186.8195,467.04875,379.08200000000033,87.96674999999965
19,R23,2018-07-19 20:00:00,15621.361,27.918,69.795,48.54000000000087,21.25499999999913
20,R23,2018-07-19 21:00:00,15621.361,,,0.0,
21,R23,2018-07-19 22:00:00,15621.361,,,0.0,
22,R23,2018-07-19 23:00:00,15621.361,,,0.0,
23,R23,2018-07-20 00:00:00,15621.361,,,0.0,
24,R23,2018-07-20 01:00:00,15621.361,,,0.0,
25,R23,2018-07-20 02:00:00,15621.361,,,0.0,
26,R23,2018-07-20 03:00:00,15621.361,,,0.0,
27,R23,2018-07-20 04:00:00,15621.361,,,0.0,
28,R23,2018-07-20 05:00:00,15621.361,,,0.0,
29,R23,2018-07-20 06:00:00,15621.361,0.851,2.1275,0.0,2.1275
30,R23,2018-07-20 07:00:00,15644.971,21.923,54.80749999999999,23.609999999998763,31.197500000001227
31,R23,2018-07-20 08:00:00,15838.044,132.751,331.8775,193.07300000000032,138.80449999999968
32,R23,2018-07-20 09:00:00,16509.722,342.3685,855.92125,671.6780000000017,184.24324999999828
33,R23,2018-07-20 10:00:00,17695.568,565.227,1413.0675,1185.8459999999977,227.22150000000238
34,R23,2018-07-20 11:00:00,19294.634,760.9045,1902.26125,1599.065999999999,303.1952500000011
35,R23,2018-07-20 12:00:00,21159.454,893.7735,2234.43375,1864.8200000000033,369.6137499999968
36,R23,2018-07-20 13:00:00,23174.567,983.2875,2458.21875,2015.1129999999976,443.10575000000244
37,R23,2018-07-20 14:00:00,25186.16,992.5705,2481.42625,2011.5930000000008,469.8332499999992
38,R23,2018-07-20 15:00:00,27086.231,940.8355,2352.08875,1900.071,452.01775
39,R23,2018-07-20 16:00:00,28756.152,809.515,2023.7875,1669.9209999999985,353.86650000000145
40,R23,2018-07-20 17:00:00,30089.619,625.2115,1563.02875,1333.4670000000006,229.5617499999994
41,R23,2018-07-20 18:00:00,30958.795,404.4365,1011.0912500000002,869.1759999999995,141.9152500000007
42,R23,2018-07-20 19:00:00,31325.692,181.642,454.105,366.89700000000084,87.20799999999917
43,R23,2018-07-20 20:00:00,31372.398,26.7425,66.85625,46.70600000000195,20.150249999998053
44,R23,2018-07-20 21:00:00,31372.398,,,0.0,
45,R23,2018-07-20 22:00:00,31372.398,,,0.0,
46,R23,2018-07-20 23:00:00,31372.398,,,0.0,
47,R23,2018-07-21 00:00:00,31372.398,,,0.0,
48,R23,2018-07-21 01:00:00,31372.398,,,0.0,
49,R23,2018-07-21 02:00:00,31372.398,,,0.0,
50,R23,2018-07-21 03:00:00,31372.398,,,0.0,
51,R23,2018-07-21 04:00:00,31372.398,,,0.0,
52,R23,2018-07-21 05:00:00,31372.398,,,0.0,
53,R23,2018-07-21 06:00:00,31372.398,,,0.0,
54,R23,2018-07-21 07:00:00,31372.398,,,0.0,
55,R23,2018-07-21 08:00:00,31372.398,,,0.0,
56,R23,2018-07-21 09:00:00,31372.398,,,0.0,
57,R23,2018-07-21 10:00:00,31372.398,,,0.0,
58,R23,2018-07-21 11:00:00,31372.398,,,0.0,
59,R23,2018-07-21 12:00:00,31372.398,,,0.0,
60,R23,2018-07-21 13:00:00,31372.398,,,0.0,
61,R23,2018-07-21 14:00:00,32093.535,959.8625,2399.65625,721.1369999999988,1678.5192500000012
62,R23,2018-07-21 15:00:00,33243.98,686.901,1717.2525,1150.4450000000033,566.8074999999967
63,R23,2018-07-21 16:00:00,34216.464,424.6675,1061.66875,972.4839999999967,89.1847500000033
64,R23,2018-07-21 17:00:00,35231.965,433.722,1084.305,1015.5009999999966,68.8040000000035
65,R23,2018-07-21 18:00:00,36105.46,402.067,1005.1675,873.4950000000026,131.6724999999974
66,R23,2018-07-21 19:00:00,36480.173,189.636,474.09,374.7130000000034,99.3769999999966
67,R23,2018-07-21 20:00:00,36525.233,26.6515,66.62875,45.05999999999767,21.568750000002325
68,R23,2018-07-21 21:00:00,36525.233,,,0.0,
69,R23,2018-07-21 22:00:00,36525.233,,,0.0,
70,R23,2018-07-21 23:00:00,36525.233,,,0.0,
71,R23,2018-07-22 00:00:00,36525.233,,,0.0,
72,R23,2018-07-22 01:00:00,36525.233,,,0.0,
73,R23,2018-07-22 02:00:00,36525.233,,,0.0,
74,R23,2018-07-22 03:00:00,36525.233,,,0.0,
75,R23,2018-07-22 04:00:00,36525.233,,,0.0,
76,R23,2018-07-22 05:00:00,36525.233,,,0.0,
77,R23,2018-07-22 06:00:00,36525.233,0.462,1.155,0.0,1.155
78,R23,2018-07-22 07:00:00,36556.159,25.6385,64.09625,30.925999999999476,33.17025000000052
79,R23,2018-07-22 08:00:00,36736.228,136.312,340.7800000000001,180.06900000000314,160.71099999999694
80,R23,2018-07-22 09:00:00,37432.559,354.9875,887.46875,696.3309999999983,191.1377500000017
81,R23,2018-07-22 10:00:00,38655.996,576.6125,1441.53125,1223.436999999998,218.09425000000192
82,R23,2018-07-22 11:00:00,40290.717,778.273,1945.6825,1634.7209999999977,310.96150000000216
83,R23,2018-07-22 12:00:00,42188.07,919.2805,2298.20125,1897.3530000000028,400.8482499999973
84,R23,2018-07-22 13:00:00,44124.751,1011.4335,2528.58375,1936.6809999999969,591.9027500000029
85,R23,2018-07-22 14:00:00,45953.689,1019.5315,2548.82875,1828.938000000002,719.8907499999982
86,R23,2018-07-22 15:00:00,47743.968,954.765,2386.9125,1790.2790000000023,596.6334999999976
87,R23,2018-07-22 16:00:00,49449.726,844.994,2112.485,1705.7580000000016,406.7269999999985
